#[youtube link (last part)];[video name]
#
#
# ------------------------ Dutch Dashcam --------------------------#
# https://www.youtube.com/channel/UCGXllzA9s6Sfcl8Y4M3Qhhw/videos
#
#
#------------------------- Car Crashes Time - https://www.youtube.com/user/CarCrashesTime/about --------------------------------#
2mzHohHcvJk;Car Crashes Compilation August - September 2019
-kXUsjn9d-A;Car Crash Compilation July 2019 #2
PIhfQ2mErcg;Car Crashes Compilation July 2019 - Episode 1
z3ny4kQ-cZ8;Car Crashes Compilation June 2019 - Episode 1
GQ2Iwbbl99o;Car Crash Compilation May 2019 - #EP. 1
xNYViDu5MR8;Car Crash Compilation May 2019 - #Ep. 2
3gKDsltMzkY;Car Crash Compilation - April 2019 - #EP. 2
aLxIChOctOk;Car Crash Compilation April 2019 HD Ep 1.
9dRc7A5OjzM;Car Crash Compilation - March 2019 - #EP. 4
m8IaFdKliyQ;Car Crash Compilation - March 2019 - #EP. 3
pLf5byZbpB4;Car Crash Compilation - February 2019 - #Ep. 3
ZNPRtJapLk0;Car Crash Compilation - February 2019 - #EP. 2
zKYCf0x517c;Car Crashes Compilation - Best of the Week
l68fOEV6o_4;Car Crash Compilation - February 2019 - #EP. 1
lyQ4twbKExQ;Car Crashes Compilation - Best of the Week
rsX0ZgfsnH8;Car Crash Compilation - January 2019 - #EP. 3
Pb23YwBdljI;Car Crash Compilation - January 2019 - #Ep.1
CbnnDQ5um7o;Car Crash Compilation - December 2018 - #Ep.3
Ak2962zamhw;Car Crash Compilation - December 24 2018.
#
#------------------------- Car Crashes Time - https://www.youtube.com/user/CarCrashesTime/about --------------------------------#
W6YrlYyWguc;BEST OF DASHCAMS - CAR ACCIDENTS & ROAD FAILS - Episode #187  # This was removed form Youtube.
jFFhYwgepmY;CAR CRASH COMPILATION - BEST OF DASHCAMS - Episode #186
ruiSuGHJf6Q;BAD DRIVERS & ROAD FAILS Compilation - BEST OF DASHCAMS - Episode #185
OPj7lUQOre8;DRIVING FAILS Compilation - MAD DRIVERS & INSTANT KARMA - BEST OF DASHCAMS #184
t_bCDlNOhJc;BEST OF DASHCAMS - CAR CRASHES & ROAD FAILS - Episode #183
oZaUkhs_H-s;ROAD FAILS Compilation - BAD DRIVERS & INSTANT KARMA - BEST OF DASHCAMS #182
kjuzh7GdETg;Сar сrashes caught on camera 2014-1
v33lW9DLMzQ;Car Crashes - Car Crash Compilation 2014 HD #2
XjJAPXCD4nc;Car Wrecks 3
TvK6dPk_3uM;Car Wrecks 2014 4
gu-ax5oSlWo;Сar сrashes caught on camera ➜ compilation part 5
jRndHgmD2sc;Сar сrashes caught on camera ➜ compilation part 7
71UKUeDWGEQ;Car Wrecks ➜ compilation part 8
JgoQ_Z2xTmQ;Сar crash compilation ➜ part 9
zQ1QmqrakIA;Сar crash compilation ➜ part 10
